mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1219.2432526747386,5.278438920632377,0.16441925366719565,0.014959714951826873,300,10,1,0.1,,entropy,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.8388735441936528,0.8334876051686934,0.8320873178482869,0.8348161557368776,0.002925406178271271,18
258.01535177230835,0.31983878373917374,0.18522063891092935,0.007248876739021011,300,5,1,0.02,80,entropy,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False}",0.8328773976216179,0.8393346791190327,0.8355856033300195,0.8359325600235566,0.0026475655855403525,14
101.46194354693095,0.33199422792643757,0.17784953117370605,0.006441146770664624,300,2,1,sqrt,80,entropy,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True}",0.8243787439258026,0.8177645016654358,0.8168419292746647,0.8196617249553011,0.0033566338227562532,63
422.60232973098755,1.402841613160556,0.46903077761332196,0.02192841337534338,800,2,4,sqrt,20,entropy,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}",0.839494264446993,0.8331631883002861,0.8243969982299952,0.8323514836590915,0.006190100167478634,24
261.88221247990924,0.9648925394198566,0.31774036089579266,0.015447635054814408,500,2,4,0.02,80,gini,False,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'gini', 'bootstrap': False}",0.8369212934106129,0.8395490689836503,0.82867737709027,0.8350492464948444,0.004631546962392926,16
1937.351260503133,7.424625018874099,0.3669455051422119,0.013549670535832076,800,2,2,0.1,40,entropy,True,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': True}",0.8366373292873307,0.82321807696435,0.8239670688769525,0.8279408250428778,0.006156954700533231,36
240.61198862393698,1.199745196314679,0.43101930618286133,0.016455196686680745,800,2,8,sqrt,40,gini,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}",0.8289015838676248,0.8276102255314285,0.8174445938153977,0.824652134404817,0.005123695450174675,47
46.325735012690224,0.24903864455743546,0.36564405759175617,0.014693568105495346,500,5,2,log2,40,entropy,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False}",0.8146242194823468,0.8139937831321367,0.8018675258527419,0.8101618428224086,0.005870612290206776,84
615.4767085711161,1.9025664565487668,0.1660606861114502,0.0060289682482569905,300,5,2,0.05,60,entropy,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': False}",0.8456192767247481,0.8324031141590629,0.8332132550296065,0.8370785486378058,0.006048256456690358,10
23.95254349708557,0.06237190375304778,0.316360870997111,0.015761031111219584,500,10,8,log2,60,gini,False,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 60, 'criterion': 'gini', 'bootstrap': False}",0.7973324499289136,0.8001954902793843,0.7935457912660387,0.7970245771581123,0.0027234430994940834,93
2256.8333064715066,9.462774523971738,0.4380088647206624,0.012506548735484216,800,2,2,0.1,40,gini,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}",0.8487070294767535,0.834589280176754,0.8381888327431504,0.8404950474655527,0.005989806957589272,6
403.93487763404846,1.7639943821786475,0.4446437358856201,0.02010808903592489,800,5,2,0.02,80,entropy,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True}",0.8392997980290433,0.8287645019425085,0.8215465620880482,0.8298702873532,0.0072897836101873245,28
